Fecha,ID empleado,ID turno,Nombre,Apellido 1,Apellido 2,Edad,Estado civil,Número de hijos a su cargo,Familiares trabajando en la empresa,Género,Carnet de toro,Sabe hacer picking,Sabe reponer,Altura (en metros),Peso (en Kg),IMC (índice de masa corporal) en número,IMC (índice de masa corporal) en categoría,Padece alguna enfermedad,Padece alguna minusvalía,Acciones de tipo tarea 1,Acciones de tipo tarea 2,Acciones de tipo tarea 3,Acciones de tipo tarea 4,Acciones de tipo tarea 5,Acciones por minuto de tipo tarea 1,Acciones por minuto de tipo tarea 2,Acciones por minuto de tipo tarea 3,Acciones por minuto de tipo tarea 4,Acciones por minuto de tipo tarea 5
20220103,A001,A,Matilde,Tomás,Sevillano,54,soltero,3,1,F,1,0,0,1.62,75.51,28.77,sobrepeso,1,1,100,53,43,0,51,7.48,2.75,2.24,9.99,7.99
20220103,A002,A,Lilia,Vilaplana,Guillen,43,viudo,4,0,F,0,1,0,1.44,62.78,30.28,obesidad,0,1,78,73,6,62,49,6.36,1.97,7.98,4.64,6.57
20220103,A003,A,Atilio,Mulet,Bello,56,casado,5,0,F,1,1,1,1.4,69.47,35.44,obesidad,0,1,62,29,93,12,57,7.48,5.65,1.01,5.4,8.87
20220103,A004,A,Alex,Pulido,Yuste,29,viudo,0,1,M,1,0,0,1.85,80.01,23.38,peso normal,1,1,73,76,1,3,2,4.47,6.53,7.1,6.67,0.16
20220103,A005,A,Macario,Boix,Sanmiguel,23,soltero,0,0,F,1,0,0,1.42,70.9,35.16,obesidad,0,1,100,67,43,92,48,1.66,5.39,9.91,8.59,6.05
20220103,A006,A,Estrella,García,Oller,23,casado,1,1,F,1,0,1,1.5,51.85,23.04,peso normal,1,0,30,90,76,10,37,4.81,3.22,7.34,9.21,1.1
20220103,A007,A,Eligio,Morán,Novoa,30,divorciado,5,1,F,1,1,1,1.54,46.92,19.78,peso normal,0,1,85,69,20,88,61,6.02,5.95,3.67,8.17,6.3
20220103,A008,A,Salomón,Ayuso,Angulo,19,viudo,1,1,F,1,0,0,1.39,50.71,26.25,sobrepeso,0,1,31,0,82,59,90,6.6,0.79,4.63,6.76,4.4
20220103,A009,A,Laura,Feliu,Sevilla,39,soltero,2,1,F,1,0,1,1.33,89.41,50.55,obesidad,1,1,97,81,34,54,49,7.31,1.08,7.67,8.8,2.81
20220103,A010,A,Eli,Isern,Guzmán,64,viudo,1,1,M,0,1,1,1.86,96.8,27.98,sobrepeso,1,0,89,80,46,28,37,2.3,7.6,6.3,2.64,2.32
20220103,A011,A,Alfonso,Rozas,Mariño,18,viudo,4,0,F,0,0,1,1.25,66.29,42.43,obesidad,0,1,42,30,53,34,78,4.01,7.92,0.58,1.99,5.55
20220103,A012,A,Coral,Aguilera,Ortiz,40,viudo,3,1,F,0,0,0,1.67,66.2,23.74,peso normal,1,0,11,90,77,65,98,0.22,0.37,4.57,6.94,7.29
20220103,A013,A,Fausto,Sales,Espinosa,21,casado,4,1,M,0,0,0,1.76,74.53,24.06,peso normal,0,0,92,60,17,56,14,9.64,8.89,5.19,6.03,0.21
20220103,A014,A,Chuy,Jimenez,Miró,47,viudo,2,1,F,1,0,1,1.41,56.26,28.3,sobrepeso,1,0,27,91,12,97,11,6.52,6.34,5.58,0.74,2.69
20220103,A015,A,Maristela,Pedrero,Perales,50,casado,5,0,F,0,0,0,1.29,68.33,41.06,obesidad,1,0,24,60,46,64,100,9.0,7.27,5.29,4.03,0.73
20220103,A016,A,Valeria,Coello,Gimeno,22,casado,3,0,M,1,1,1,1.79,68.14,21.27,peso normal,0,1,53,41,51,20,17,1.02,1.38,5.05,9.86,1.55
20220103,A017,A,Paz,Tamarit,Vera,59,casado,1,0,F,0,1,0,1.45,42.77,20.34,peso normal,1,0,26,47,2,41,91,4.24,2.05,0.67,8.62,0.67
20220103,A018,A,José Antonio,Zapata,Pina,29,divorciado,5,1,F,0,1,1,1.42,45.6,22.61,peso normal,1,0,77,15,100,51,52,4.76,7.18,3.33,7.76,9.41
20220103,A019,A,Roxana,Báez,Dalmau,20,viudo,1,0,M,1,0,0,1.8,91.66,28.29,sobrepeso,0,1,55,29,33,99,26,2.73,8.78,9.8,2.01,4.4
20220103,A020,A,Sigfrido,Bermejo,Patiño,50,soltero,0,1,M,1,0,0,1.68,105.69,37.45,obesidad,0,1,10,17,57,97,31,4.93,2.57,6.07,2.05,4.93
20220103,B001,B,Ale,Reguera,Barbero,19,viudo,0,1,M,1,0,1,1.62,65.78,25.06,sobrepeso,1,0,79,58,45,30,37,7.09,8.26,6.89,1.74,4.88
20220103,B002,B,Ruy,Valencia,Codina,51,casado,1,1,F,1,0,0,1.49,42.28,19.04,peso normal,1,0,1,46,19,23,52,9.68,0.99,5.79,1.7,3.99
20220103,B003,B,Juan Manuel,Cisneros,Alba,55,casado,4,1,M,1,1,1,1.63,60.17,22.65,peso normal,1,1,3,7,72,9,32,4.45,7.77,1.23,2.77,8.21
20220103,B004,B,Luis Miguel,Canet,Pera,37,soltero,2,1,F,0,1,0,1.32,45.79,26.28,sobrepeso,0,1,81,16,72,62,94,8.04,5.66,4.49,7.84,8.15
20220103,B005,B,Fernando,Luna,Araujo,57,soltero,4,0,F,1,0,1,1.7,47.53,16.45,delgadez,0,0,84,1,36,37,29,0.16,4.7,3.36,9.37,7.66
20220103,B006,B,Wilfredo,Valentín,Catalán,62,viudo,3,0,F,0,1,0,1.58,52.17,20.9,peso normal,1,1,89,87,15,93,73,1.97,4.99,1.65,8.36,5.82
20220103,B007,B,Isa,Tirado,Tejada,40,soltero,3,1,F,0,1,0,1.3,53.15,31.45,obesidad,1,0,80,59,4,53,42,8.16,8.77,8.95,8.35,1.43
20220103,B008,B,Bernardino,Jordán,Ayuso,31,soltero,2,0,M,0,0,0,1.74,107.78,35.6,obesidad,0,0,2,85,55,95,60,5.98,0.04,9.19,7.27,7.38
20220103,B009,B,Valentina,Benavides,Verdejo,39,divorciado,4,1,M,0,0,1,1.68,95.33,33.78,obesidad,1,1,49,97,39,10,63,5.38,9.06,1.72,2.99,2.92
20220103,B010,B,Manu,Pla,Calatayud,56,viudo,2,0,F,0,1,1,1.23,82.5,54.53,obesidad,0,1,77,88,15,95,43,4.39,7.85,3.41,6.33,6.36
20220103,B011,B,Salvador,Rius,Vilar,54,viudo,1,1,F,0,1,1,1.59,62.89,24.88,peso normal,1,1,56,97,57,9,57,6.15,0.07,9.22,0.76,5.0
